,knot_names,kfh_total_ranks,volumes,determinants,jones_poly_degrees,writh,signature,13-crossing knots,kfh
0,13ah_0001,23,3.58891391779190,23,28,13,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-1, -2): 6, (0, -1): 11, (1, 0): 6}, 'seifert_genus': 1, 'tau': 1, 'total_rank': 23}"
1,13ah_0002,31,5.20861094846636,31,36,13,-10,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 5, 'ranks': {(-5, -10): 2, (-4, -9): 3, (-3, -8): 3, (-2, -7): 3, (-1, -6): 3, (0, -5): 3, (1, -4): 3, (2, -3): 3, (3, -2): 3, (4, -1): 3, (5, 0): 2}, 'seifert_genus': 5, 'tau': 5, 'total_rank': 31}"
2,13ah_0003,37,5.95611749556813,37,30,13,-4,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 2, 'ranks': {(-2, -4): 5, (-1, -3): 9, (0, -2): 9, (1, -1): 9, (2, 0): 5}, 'seifert_genus': 2, 'tau': 2, 'total_rank': 37}"
3,13ah_0004,39,5.98281997309039,39,28,13,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-1, -2): 10, (0, -1): 19, (1, 0): 10}, 'seifert_genus': 1, 'tau': 1, 'total_rank': 39}"
4,13ah_0005,41,6.29824027236565,41,34,13,-8,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 4, 'ranks': {(-4, -8): 3, (-3, -7): 5, (-2, -6): 5, (-1, -5): 5, (0, -4): 5, (1, -3): 5, (2, -2): 5, (3, -1): 5, (4, 0): 3}, 'seifert_genus': 4, 'tau': 4, 'total_rank': 41}"
5,13ah_0006,43,6.43455452909856,43,32,13,-6,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 3, 'ranks': {(-3, -6): 4, (-2, -5): 7, (-1, -4): 7, (0, -3): 7, (1, -2): 7, (2, -1): 7, (3, 0): 4}, 'seifert_genus': 3, 'tau': 3, 'total_rank': 43}"
6,13ah_0007,47,6.51089812140696,47,28,13,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-1, -2): 12, (0, -1): 23, (1, 0): 12}, 'seifert_genus': 1, 'tau': 1, 'total_rank': 47}"
7,13ah_0008,47,7.54192832957979,47,36,13,-10,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 5, 'ranks': {(-5, -10): 2, (-4, -9): 4, (-3, -8): 5, (-2, -7): 5, (-1, -6): 5, (0, -5): 5, (1, -4): 5, (2, -3): 5, (3, -2): 5, (4, -1): 4, (5, 0): 2}, 'seifert_genus': 5, 'tau': 5, 'total_rank': 47}"
8,13ah_0009,59,8.57799233036013,59,36,13,-10,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 5, 'ranks': {(-5, -10): 2, (-4, -9): 4, (-3, -8): 6, (-2, -7): 7, (-1, -6): 7, (0, -5): 7, (1, -4): 7, (2, -3): 7, (3, -2): 6, (4, -1): 4, (5, 0): 2}, 'seifert_genus': 5, 'tau': 5, 'total_rank': 59}"
9,13ah_0010,53,8.69994591931532,53,30,13,-4,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 2, 'ranks': {(-2, -4): 5, (-1, -3): 13, (0, -2): 17, (1, -1): 13, (2, 0): 5}, 'seifert_genus': 2, 'tau': 2, 'total_rank': 53}"
