,knot_names,kfh_total_ranks,volumes,determinants,jones_poly_degrees,writh,signature,13-crossing knots,kfh
0,13nh_0001,13,5.52559923559566,3,2,-5,6,Non-alternating,"{'L_space_knot': False, 'epsilon': -1, 'fibered': True, 'modulus': 2, 'nu': -1, 'ranks': {(-4, -1): 1, (-3, 0): 2, (-2, 0): 1, (-2, 1): 1, (-1, 1): 1, (0, 2): 1, (1, 3): 1, (2, 4): 1, (2, 5): 1, (3, 6): 2, (4, 7): 1}, 'seifert_genus': 4, 'tau': -2, 'total_rank': 13}"
1,13nh_0002,17,5.69302109128130,1,4,-3,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': True, 'modulus': 2, 'nu': 0, 'ranks': {(-2, -3): 1, (-1, -2): 2, (-1, -1): 2, (0, -1): 2, (0, 0): 5, (1, 0): 2, (1, 1): 2, (2, 1): 1}, 'seifert_genus': 2, 'tau': 0, 'total_rank': 17}"
2,13nh_0003,9,6.08444991110846,9,20,7,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-1, -1): 2, (0, 0): 5, (1, 1): 2}, 'seifert_genus': 1, 'tau': 0, 'total_rank': 9}"
3,13nh_0004,23,6.44353738085057,1,22,9,-8,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 4, 'ranks': {(-5, -9): 1, (-4, -8): 3, (-3, -7): 2, (-2, -5): 1, (-1, -4): 3, (0, -3): 3, (1, -2): 3, (2, -1): 1, (3, -1): 2, (4, 0): 3, (5, 1): 1}, 'seifert_genus': 5, 'tau': 4, 'total_rank': 23}"
4,13nh_0005,25,6.77819889004689,7,10,-1,2,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-2, -1): 2, (-1, -1): 2, (-1, 0): 4, (0, 0): 5, (0, 1): 4, (1, 1): 2, (1, 2): 4, (2, 3): 2}, 'seifert_genus': 2, 'tau': 0, 'total_rank': 25}"
5,13nh_0006,27,6.90425612380648,5,10,1,-4,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -5): 1, (-2, -4): 2, (-2, -3): 1, (-1, -3): 3, (-1, -2): 3, (0, -2): 4, (0, -1): 3, (1, -1): 3, (1, 0): 3, (2, 0): 2, (2, 1): 1, (3, 1): 1}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 27}"
6,13nh_0007,17,6.92646529642384,17,26,9,-8,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 4, 'ranks': {(-5, -9): 1, (-4, -8): 3, (-3, -7): 2, (-2, -6): 1, (-1, -5): 1, (0, -4): 1, (1, -3): 1, (2, -2): 1, (3, -1): 2, (4, 0): 3, (5, 1): 1}, 'seifert_genus': 5, 'tau': 4, 'total_rank': 17}"
7,13nh_0008,19,7.11805950146413,3,10,1,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -5): 1, (-2, -4): 2, (-2, -3): 1, (-1, -3): 1, (-1, -2): 3, (0, -1): 3, (1, -1): 1, (1, 0): 3, (2, 0): 2, (2, 1): 1, (3, 1): 1}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 19}"
8,13nh_0009,29,7.22351626586071,11,10,5,-6,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 3, 'ranks': {(-4, -7): 2, (-3, -6): 5, (-2, -5): 3, (-1, -3): 2, (0, -2): 5, (1, -1): 2, (2, -1): 3, (3, 0): 5, (4, 1): 2}, 'seifert_genus': 4, 'tau': 3, 'total_rank': 29}"
9,13nh_0010,11,7.27299664657099,5,20,7,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-1, -2): 1, (-1, -1): 2, (0, -1): 1, (0, 0): 4, (1, 0): 1, (1, 1): 2}, 'seifert_genus': 1, 'tau': 1, 'total_rank': 11}"
