,knot_names,kfh_total_ranks,volumes,determinants,jones_poly_degrees,14-crossing knots
0,14ah_00001,25,3.60046726278481,25,24,Alternating
1,14ah_00002,35,5.23864536793738,35,34,Alternating
2,14ah_00003,41,5.99042323277768,41,20,Alternating
3,14ah_00004,43,6.01012967872786,43,18,Alternating
4,14ah_00005,49,6.38462163345741,49,28,Alternating
5,14ah_00006,49,6.51629979063244,49,16,Alternating
6,14ah_00007,53,6.56860931491516,53,12,Alternating
7,14ah_00008,55,6.64566492934619,55,22,Alternating
8,14ah_00009,53,7.57798322430383,53,-2,Alternating
9,14ah_00010,51,8.11889826327177,51,34,Alternating
10,14ah_00011,67,8.62501071493877,67,26,Alternating
11,14ah_00012,59,8.75746556921280,59,26,Alternating
12,14ah_00013,61,8.78042005148973,61,22,Alternating
13,14ah_00014,65,8.78357293459536,65,32,Alternating
14,14ah_00015,59,8.83909108098383,59,34,Alternating
15,14ah_00016,77,9.09329371872645,77,6,Alternating
16,14ah_00017,57,9.18041770626085,57,12,Alternating
17,14ah_00018,83,9.29767182427554,83,18,Alternating
18,14ah_00019,85,9.35597127280691,85,14,Alternating
19,14ah_00020,79,9.45550177031729,79,4,Alternating
20,14ah_00021,75,9.48266508391078,75,26,Alternating
21,14ah_00022,77,9.49499447422952,77,6,Alternating
22,14ah_00023,61,9.71735109314452,61,28,Alternating
23,14ah_00024,79,9.72419192076845,79,30,Alternating
24,14ah_00025,69,9.76151460440307,69,-2,Alternating
25,14ah_00026,77,9.76451095276716,77,28,Alternating
26,14ah_00027,83,9.85082807583525,83,16,Alternating
27,14ah_00028,63,9.94467203710726,63,22,Alternating
28,14ah_00029,89,9.95026328628111,89,10,Alternating
29,14ah_00030,83,10.0157336245743,83,14,Alternating
30,14ah_00031,87,10.0416033517146,87,14,Alternating
31,14ah_00032,81,10.3484921856212,81,32,Alternating
32,14ah_00033,95,10.3528339477110,95,4,Alternating
33,14ah_00034,65,10.4076185894745,65,28,Alternating
34,14ah_00035,91,10.4985422278027,91,0,Alternating
35,14ah_00036,95,10.5422656394559,95,26,Alternating
36,14ah_00037,103,10.6988602521120,103,22,Alternating
37,14ah_00038,107,10.7302464003820,107,12,Alternating
38,14ah_00039,101,10.7401548226301,101,20,Alternating
39,14ah_00040,81,10.7917366242564,81,-2,Alternating
