,knot_names,kfh_total_ranks,volumes,determinants,jones_poly_degrees,14-crossing knots
0,14nh_00001,11,4.12490325180768,3,32,Non-alternating
1,14nh_00002,15,4.99327197292099,15,20,Non-alternating
2,14nh_00003,17,5.82963473470926,1,2,Non-alternating
3,14nh_00004,17,6.11007257004177,9,34,Non-alternating
4,14nh_00005,17,6.16820572069919,9,18,Non-alternating
5,14nh_00006,9,6.27237250941337,9,0,Non-alternating
6,14nh_00007,19,6.41740738568859,11,32,Non-alternating
7,14nh_00008,21,6.44354333291153,3,28,Non-alternating
8,14nh_00009,19,6.78371351983513,3,22,Non-alternating
9,14nh_00010,29,6.99718914779221,3,24,Non-alternating
10,14nh_00011,25,7.08492595351083,1,30,Non-alternating
11,14nh_00012,17,7.18702011041552,9,26,Non-alternating
12,14nh_00013,31,7.23965207588756,9,28,Non-alternating
13,14nh_00014,19,7.26299156582316,11,34,Non-alternating
14,14nh_00015,11,7.26552843613206,5,14,Non-alternating
15,14nh_00016,17,7.29661154177792,7,26,Non-alternating
16,14nh_00017,11,7.36565647223013,5,10,Non-alternating
17,14nh_00018,31,7.45187179845454,17,26,Non-alternating
18,14nh_00019,23,7.46011126119416,1,30,Non-alternating
19,14nh_00020,31,7.47523742950524,1,22,Non-alternating
20,14nh_00021,35,7.49435944749003,13,22,Non-alternating
21,14nh_00022,29,7.66211861927762,27,28,Non-alternating
22,14nh_00023,25,7.75158006941048,1,32,Non-alternating
23,14nh_00024,33,7.77747478428867,33,22,Non-alternating
24,14nh_00025,13,7.85915478837060,3,20,Non-alternating
25,14nh_00026,31,7.89757919532381,31,12,Non-alternating
26,14nh_00027,13,7.96493994039624,3,4,Non-alternating
27,14nh_00028,39,7.97294534402091,39,28,Non-alternating
28,14nh_00029,21,7.99547824985279,21,14,Non-alternating
29,14nh_00030,19,8.09343303467656,19,32,Non-alternating
30,14nh_00031,23,8.13168533600517,17,26,Non-alternating
31,14nh_00032,27,8.15305896147389,3,30,Non-alternating
32,14nh_00033,23,8.15323575512459,15,36,Non-alternating
33,14nh_00034,23,8.36973426928777,7,12,Non-alternating
34,14nh_00035,15,8.37682916291693,1,4,Non-alternating
35,14nh_00036,27,8.41094864967997,27,16,Non-alternating
36,14nh_00037,31,8.41131785658244,1,20,Non-alternating
37,14nh_00038,31,8.47107015181119,1,4,Non-alternating
38,14nh_00039,39,8.47744550858491,39,20,Non-alternating
39,14nh_00040,27,8.48608178712278,27,-2,Non-alternating
40,14nh_00041,17,8.53669857402910,1,18,Non-alternating
41,14nh_00042,33,8.56911307295645,33,8,Non-alternating
42,14nh_00043,37,8.65114855801708,3,30,Non-alternating
43,14nh_00044,33,8.71309271089786,15,32,Non-alternating
44,14nh_00045,25,8.78615462960649,9,14,Non-alternating
45,14nh_00046,23,8.81921786046635,7,22,Non-alternating
46,14nh_00047,33,8.84859761392648,1,12,Non-alternating
47,14nh_00048,17,8.87815966253588,1,10,Non-alternating
48,14nh_00049,17,8.87815966253588,1,12,Non-alternating
49,14nh_00050,39,8.92080609481501,39,28,Non-alternating
50,14nh_00051,27,8.97284723814865,27,24,Non-alternating
51,14nh_00052,17,9.00782838900942,15,28,Non-alternating
52,14nh_00053,29,9.03549479578478,5,30,Non-alternating
53,14nh_00054,21,9.05697434923708,11,10,Non-alternating
54,14nh_00055,25,9.06684373577334,7,4,Non-alternating
55,14nh_00056,17,9.12196396039885,17,8,Non-alternating
56,14nh_00057,37,9.31343292727671,37,26,Non-alternating
57,14nh_00058,33,9.32854498059152,33,30,Non-alternating
58,14nh_00059,27,9.34211642390541,5,14,Non-alternating
59,14nh_00060,35,9.40762745208580,35,34,Non-alternating
60,14nh_00061,23,9.42918476962946,7,18,Non-alternating
61,14nh_00062,25,9.47595715855002,25,18,Non-alternating
62,14nh_00063,45,9.48716106379608,11,30,Non-alternating
63,14nh_00064,29,9.51662055713213,21,26,Non-alternating
64,14nh_00065,43,9.57888282147791,3,32,Non-alternating
65,14nh_00066,35,9.59699013418688,5,32,Non-alternating
66,14nh_00067,45,9.60098540782062,3,28,Non-alternating
67,14nh_00068,31,9.61398739558487,15,-2,Non-alternating
68,14nh_00069,57,9.67658218967108,57,32,Non-alternating
69,14nh_00070,31,9.68989925180803,17,22,Non-alternating
70,14nh_00071,31,9.70529623360979,23,36,Non-alternating
71,14nh_00072,47,9.73656554996339,9,24,Non-alternating
72,14nh_00073,29,9.77177726708516,13,16,Non-alternating
73,14nh_00074,31,9.80605601016493,7,24,Non-alternating
74,14nh_00075,25,9.80768299866749,17,28,Non-alternating
75,14nh_00076,33,9.81643524297881,9,32,Non-alternating
76,14nh_00077,29,9.83622764597141,3,18,Non-alternating
77,14nh_00078,29,9.87594950741915,13,28,Non-alternating
78,14nh_00079,31,9.88632829562846,23,22,Non-alternating
79,14nh_00080,25,9.89737092365868,9,16,Non-alternating
80,14nh_00081,27,9.91483324407934,11,22,Non-alternating
81,14nh_00082,31,9.91642615210121,7,28,Non-alternating
82,14nh_00083,35,9.93078675668103,3,12,Non-alternating
83,14nh_00084,37,9.93468203350576,5,16,Non-alternating
84,14nh_00085,33,9.93654872307099,9,32,Non-alternating
85,14nh_00086,49,9.93732537645868,23,28,Non-alternating
86,14nh_00087,23,9.94034282070666,9,22,Non-alternating
87,14nh_00088,33,9.95970735477602,9,30,Non-alternating
88,14nh_00089,33,9.96972947906699,25,34,Non-alternating
89,14nh_00090,25,9.97695527360416,9,14,Non-alternating
90,14nh_00091,29,9.98300866179470,5,28,Non-alternating
91,14nh_00092,37,9.99506243046019,37,6,Non-alternating
92,14nh_00093,25,10.0610299902052,9,4,Non-alternating
93,14nh_00094,41,10.0813628565608,7,24,Non-alternating
94,14nh_00095,47,10.1254037451832,47,12,Non-alternating
95,14nh_00096,15,10.1533729298677,9,28,Non-alternating
96,14nh_00097,29,10.1550848535089,21,36,Non-alternating
97,14nh_00098,41,10.1580465180280,9,16,Non-alternating
98,14nh_00099,23,10.1733981074325,1,28,Non-alternating
99,14nh_00100,49,10.2263665531899,39,32,Non-alternating
100,14nh_00101,35,10.2446417867847,3,30,Non-alternating
101,14nh_00102,25,10.2518350427321,9,28,Non-alternating
102,14nh_00103,21,10.2564404017439,5,24,Non-alternating
103,14nh_00104,43,10.2602434363137,5,8,Non-alternating
104,14nh_00105,17,10.2622904745915,15,14,Non-alternating
105,14nh_00106,27,10.2814998865371,3,28,Non-alternating
106,14nh_00107,35,10.2988166627105,27,36,Non-alternating
107,14nh_00108,31,10.2989004501171,15,18,Non-alternating
108,14nh_00109,47,10.3034837077232,25,26,Non-alternating
109,14nh_00110,29,10.3078991703464,21,30,Non-alternating
110,14nh_00111,57,10.3172532864576,57,14,Non-alternating
111,14nh_00112,35,10.3173056432529,11,30,Non-alternating
112,14nh_00113,51,10.3372138329774,13,18,Non-alternating
113,14nh_00114,19,10.3737566065774,13,-2,Non-alternating
114,14nh_00115,31,10.3806244822567,15,12,Non-alternating
115,14nh_00116,63,10.3808696730331,63,26,Non-alternating
116,14nh_00117,43,10.3847936851324,5,18,Non-alternating
117,14nh_00118,53,10.3948496875437,11,6,Non-alternating
118,14nh_00119,29,10.3952154512216,13,18,Non-alternating
119,14nh_00120,31,10.3952154512216,7,24,Non-alternating
120,14nh_00121,33,10.4121596055007,9,34,Non-alternating
121,14nh_00122,37,10.4185325010608,19,24,Non-alternating
122,14nh_00123,45,10.4418419294832,45,8,Non-alternating
123,14nh_00124,33,10.4514100187058,33,20,Non-alternating
124,14nh_00125,41,10.4560488465342,1,32,Non-alternating
125,14nh_00126,45,10.4629949266311,5,30,Non-alternating
126,14nh_00127,23,10.4821216824095,9,20,Non-alternating
127,14nh_00128,59,10.4993851613383,59,34,Non-alternating
128,14nh_00129,35,10.5074029763170,13,8,Non-alternating
129,14nh_00130,31,10.5263517447758,17,18,Non-alternating
130,14nh_00131,43,10.5667318329159,43,10,Non-alternating
131,14nh_00132,31,10.5840420668477,9,22,Non-alternating
132,14nh_00133,23,10.5897519127627,9,20,Non-alternating
133,14nh_00134,45,10.6063903203541,45,-4,Non-alternating
134,14nh_00135,39,10.6108920237200,15,24,Non-alternating
135,14nh_00136,37,10.6155267606395,11,20,Non-alternating
136,14nh_00137,33,10.6159041514475,33,8,Non-alternating
137,14nh_00138,31,10.6306040690484,7,30,Non-alternating
138,14nh_00139,27,10.6335255628949,27,32,Non-alternating
139,14nh_00140,45,10.6390867935493,3,6,Non-alternating
140,14nh_00141,63,10.6427735362206,63,28,Non-alternating
141,14nh_00142,55,10.6644243925556,55,-6,Non-alternating
142,14nh_00143,43,10.6802621852561,11,18,Non-alternating
143,14nh_00144,37,10.6916746790148,5,18,Non-alternating
144,14nh_00145,37,10.7025044742701,5,-4,Non-alternating
145,14nh_00146,29,10.7268079036003,3,20,Non-alternating
146,14nh_00147,47,10.7305035894322,47,-2,Non-alternating
147,14nh_00148,53,10.7360618234809,35,20,Non-alternating
148,14nh_00149,23,10.7519217104779,9,12,Non-alternating
149,14nh_00150,51,10.7712297787266,51,16,Non-alternating
150,14nh_00151,25,10.7804602054435,25,26,Non-alternating
151,14nh_00152,21,10.7961831228319,11,22,Non-alternating
152,14nh_00153,39,10.8069066269262,9,22,Non-alternating
153,14nh_00154,27,10.8069066269262,27,2,Non-alternating
154,14nh_00155,51,10.8076659296937,51,34,Non-alternating
155,14nh_00156,33,10.8185879169746,1,14,Non-alternating
156,14nh_00157,41,10.8250958584457,23,10,Non-alternating
157,14nh_00158,57,10.8358925655799,57,16,Non-alternating
158,14nh_00159,43,10.8370637019882,13,24,Non-alternating
159,14nh_00160,21,10.8514672721502,21,16,Non-alternating
160,14nh_00161,53,10.8657516730037,27,24,Non-alternating
161,14nh_00162,57,10.8865902210599,23,24,Non-alternating
162,14nh_00163,33,10.8886793029238,33,4,Non-alternating
163,14nh_00164,39,10.8907139092818,1,32,Non-alternating
164,14nh_00165,37,10.9004157424771,5,6,Non-alternating
165,14nh_00166,49,10.9018526518204,49,8,Non-alternating
166,14nh_00167,31,10.9018532246465,1,2,Non-alternating
167,14nh_00168,49,10.9044792689859,47,16,Non-alternating
168,14nh_00169,25,10.9323474688074,23,10,Non-alternating
169,14nh_00170,37,10.9380006200933,21,26,Non-alternating
170,14nh_00171,27,10.9459092064895,27,-2,Non-alternating
171,14nh_00172,25,10.9524444362807,9,10,Non-alternating
172,14nh_00173,59,10.9652924228402,59,-2,Non-alternating
173,14nh_00174,33,10.9677940382063,1,6,Non-alternating
174,14nh_00175,29,10.9744917027818,11,30,Non-alternating
175,14nh_00176,39,10.9828268737686,1,24,Non-alternating
176,14nh_00177,57,11.0408107492393,57,20,Non-alternating
177,14nh_00178,65,11.0426546526499,65,24,Non-alternating
178,14nh_00179,37,11.0454430818615,11,-4,Non-alternating
179,14nh_00180,45,11.0465548621954,3,12,Non-alternating
180,14nh_00181,43,11.0516223964307,21,6,Non-alternating
181,14nh_00182,29,11.0615205292353,3,16,Non-alternating
182,14nh_00183,43,11.0683426076689,19,20,Non-alternating
183,14nh_00184,37,11.0687807974619,21,28,Non-alternating
184,14nh_00185,27,11.0820766961516,27,14,Non-alternating
185,14nh_00186,63,11.0968613458163,63,20,Non-alternating
186,14nh_00187,47,11.0984071628085,17,28,Non-alternating
187,14nh_00188,25,11.1034033531368,9,18,Non-alternating
188,14nh_00189,37,11.1078805139662,27,8,Non-alternating
189,14nh_00190,39,11.1149732249219,9,20,Non-alternating
190,14nh_00191,41,11.1171393313233,7,18,Non-alternating
191,14nh_00192,33,11.1273356495843,25,36,Non-alternating
192,14nh_00193,29,11.1302877391239,13,24,Non-alternating
193,14nh_00194,47,11.1340373449891,15,30,Non-alternating
194,14nh_00195,33,11.1542652351654,25,30,Non-alternating
195,14nh_00196,31,11.1577708064517,15,20,Non-alternating
196,14nh_00197,53,11.1599987524182,43,2,Non-alternating
197,14nh_00198,37,11.1674553456615,21,22,Non-alternating
198,14nh_00199,37,11.1772717225203,5,12,Non-alternating
199,14nh_00200,59,11.1802762955395,29,26,Non-alternating
200,14nh_00201,43,11.1812769788118,37,14,Non-alternating
201,14nh_00202,49,11.1960620091316,31,6,Non-alternating
202,14nh_00203,53,11.2057625972141,53,-4,Non-alternating
203,14nh_00204,47,11.2209813355439,33,26,Non-alternating
204,14nh_00205,53,11.2209813355439,27,16,Non-alternating
205,14nh_00206,63,11.2222946941981,63,22,Non-alternating
206,14nh_00207,37,11.2340670201474,3,34,Non-alternating
207,14nh_00208,41,11.2366749528399,23,12,Non-alternating
208,14nh_00209,63,11.2387895196782,63,30,Non-alternating
209,14nh_00210,39,11.2413182491773,9,2,Non-alternating
210,14nh_00211,25,11.2537482041564,9,12,Non-alternating
211,14nh_00212,25,11.2633674304466,23,28,Non-alternating
212,14nh_00213,57,11.2652216923996,57,32,Non-alternating
213,14nh_00214,39,11.2768283091366,31,22,Non-alternating
214,14nh_00215,27,11.2911128906207,5,16,Non-alternating
215,14nh_00216,39,11.2928716661849,39,-2,Non-alternating
216,14nh_00217,25,11.2933402914624,25,12,Non-alternating
217,14nh_00218,49,11.3057210562932,15,18,Non-alternating
218,14nh_00219,25,11.3177579604287,25,8,Non-alternating
